COUNTRY	PROVINCE	COUNTY	Country_cd	Province_cd	Continent	Region	ACTIVE	PEOPLE_TESTED	CONFIRMED	PEOPLE_HOSPITALIZED	DEATHS	RECOVERED	INCIDENT_RATE	TESTING_RATE	HOSPITALIZATION_RATE	MORTALITY_RATE	LONG	LAT	LAST_REPORTED_FLAG
United States	Kansas	Atchison	US	KS	America	Americas	21	0	21	0	0	0	130.6538916	0	0	0	-95.30870026	39.53185661	FALSE
United States	Missouri	Atchison	US	MO	America	Americas	3	0	3	0	0	0	58.33171301	0	0	0	-95.42970639	40.43238737	FALSE
United States	Ohio	Athens	US	OH	America	Americas	17	0	18	0	1	0	27.55369143	0	0	0	-82.04278644	39.33425634	FALSE
United States	Georgia	Atkinson	US	GA	America	Americas	40	0	42	0	2	0	514.390692	0	0	0	-82.87545866	31.29633502	FALSE
United States	New Jersey	Atlantic	US	NJ	America	Americas	1964	0	2120	0	156	0	804.0353472	0	0	0	-74.65848483	39.47538693	FALSE
United States	Oklahoma	Atoka	US	OK	America	Americas	3	0	3	0	0	0	21.80549499	0	0	0	-96.03802487	34.37366573	FALSE
United States	Mississippi	Attala	US	MS	America	Americas	269	0	284	0	15	0	1562.671949	0	0	0	-89.57838564	33.08658803	FALSE
United States	Missouri	Audrain	US	MO	America	Americas	71	0	71	0	0	0	279.6596817	0	0	0	-91.84242683	39.215877	FALSE
United States	Iowa	Audubon	US	IA	America	Americas	11	0	12	0	1	0	218.3406114	0	0	0	-94.90581859	41.6844628	FALSE
United States	Ohio	Auglaize	US	OH	America	Americas	62	0	65	0	3	0	142.3690205	0	0	0	-84.2242143	40.55998859	FALSE
United States	Virginia	Augusta	US	VA	America	Americas	104	0	105	0	1	0	138.9660923	0	0	0	-79.12461614	38.16404586	FALSE
United States	South Dakota	Aurora	US	SD	America	Americas	23	0	23	0	0	0	836.0596147	0	0	0	-98.56050467	43.71757685	FALSE
United States	Texas	Austin	US	TX	America	Americas	24	0	24	0	0	0	79.91475759	0	0	0	-96.27736949	29.88548725	FALSE
United States	Alabama	Autauga	US	AL	America	Americas	202	0	205	0	3	0	366.9297822	0	0	0	-86.64408227	32.53952745	FALSE
United States	North Carolina	Avery	US	NC	America	Americas	2	0	2	0	0	0	11.39146779	0	0	0	-81.92308483	36.07569796	FALSE
United States	Louisiana	Avoyelles	US	LA	America	Americas	111	0	120	0	9	0	298.9238741	0	0	0	-92.00079449	31.07796211	FALSE
United States	Colorado	Baca	US	CO	America	Americas	12	0	12	0	0	0	335.1019268	0	0	0	-102.5603223	37.31940883	FALSE
United States	Georgia	Bacon	US	GA	America	Americas	88	0	91	0	3	0	815.1200287	0	0	0	-82.45936528	31.55456473	FALSE
United States	Texas	Bailey	US	TX	America	Americas	14	0	14	0	0	0	200	0	0	0	-102.8299707	34.06854817	FALSE
United States	Florida	Baker	US	FL	America	Americas	25	0	28	0	3	0	95.85758302	0	0	0	-82.28467476	30.33060121	FALSE
United States	Georgia	Baker	US	GA	America	Americas	32	0	34	0	2	0	1119.15734	0	0	0	-84.44218806	31.32669878	FALSE
United States	Oregon	Baker	US	OR	America	Americas	1	0	1	0	0	0	6.201935004	0	0	0	-117.6749883	44.70915557	FALSE
United States	Alabama	Baldwin	US	AL	America	Americas	272	0	281	0	9	0	125.8768826	0	0	0	-87.72207058	30.72774991	FALSE
United States	Georgia	Baldwin	US	GA	America	Americas	316	0	342	0	26	0	761.8623301	0	0	0	-83.24701748	33.06882326	FALSE
United States	Kentucky	Ballard	US	KY	America	Americas	10	0	10	0	0	0	126.7748479	0	0	0	-88.99427697	37.05842757	FALSE
United States	Maryland	Baltimore	US	MD	America	Americas	5483	0	5819	0	336	0	703.3129072	0	0	0	-76.62911955	39.45784712	FALSE
United States	Maryland	Baltimore City	US	MD	America	Americas	5178	0	5426	0	248	0	914.2529781	0	0	0	-76.61151012	39.30211911	FALSE
United States	South Carolina	Bamberg	US	SC	America	Americas	21	0	21	0	0	0	149.2961752	0	0	0	-81.05659969	33.21927586	FALSE
United States	Texas	Bandera	US	TX	America	Americas	6	0	6	0	0	0	25.96053998	0	0	0	-99.24598147	29.74619598	FALSE
United States	Georgia	Banks	US	GA	America	Americas	92	0	92	0	0	0	478.3196423	0	0	0	-83.49644388	34.35607081	FALSE
United States	Idaho	Bannock	US	ID	America	Americas	24	0	24	0	0	0	27.33236152	0	0	0	-112.2233311	42.67002716	FALSE
United States	Michigan	Baraga	US	MI	America	Americas	1	0	1	0	0	0	12.18175174	0	0	0	-88.36363591	46.6720582	FALSE
United States	Kansas	Barber	US	KS	America	Americas	1	0	1	0	0	0	22.58866049	0	0	0	-98.68460053	37.2288586	FALSE
United States	Alabama	Barbour	US	AL	America	Americas	131	0	132	0	1	0	534.7160334	0	0	0	-85.3871286	31.868263	FALSE
United States	West Virginia	Barbour	US	WV	America	Americas	8	0	9	0	1	0	54.74119579	0	0	0	-80.00350858	39.1307219	FALSE
United States	North Dakota	Barnes	US	ND	America	Americas	4	0	4	0	0	0	38.40614498	0	0	0	-98.06605978	46.93579637	FALSE
United States	Massachusetts	Barnstable	US	MA	America	Americas	1180	0	1295	0	115	0	608.0097657	0	0	0	-70.28854339	41.72980578	FALSE
United States	South Carolina	Barnwell	US	SC	America	Americas	43	0	44	0	1	0	210.8693568	0	0	0	-81.43584352	33.26679302	FALSE
United States	Kentucky	Barren	US	KY	America	Americas	43	0	44	0	1	0	99.43727542	0	0	0	-85.93338945	36.96469836	FALSE
United States	Wisconsin	Barron	US	WI	America	Americas	14	0	14	0	0	0	30.9433295	0	0	0	-91.84833627	45.42372701	FALSE
United States	Georgia	Barrow	US	GA	America	Americas	308	0	321	0	13	0	385.6319077	0	0	0	-83.71436292	33.99148694	FALSE
United States	Michigan	Barry	US	MI	America	Americas	60	0	62	0	2	0	100.7311129	0	0	0	-85.30834519	42.59513984	FALSE
United States	Missouri	Barry	US	MO	America	Americas	9	0	9	0	0	0	25.14739166	0	0	0	-93.82919888	36.70978521	FALSE
United States	Indiana	Bartholomew	US	IN	America	Americas	466	0	500	0	34	0	596.8082694	0	0	0	-85.89558181	39.20744865	FALSE
United States	Kansas	Barton	US	KS	America	Americas	44	0	45	0	1	0	174.5606889	0	0	0	-98.75636726	38.47889676	FALSE
United States	Georgia	Bartow	US	GA	America	Americas	432	0	470	0	38	0	436.2434796	0	0	0	-84.83887523	34.23732119	FALSE
United States	Texas	Bastrop	US	TX	America	Americas	193	0	196	0	3	0	220.9122775	0	0	0	-97.31206354	30.10370699	FALSE
United States	Missouri	Bates	US	MO	America	Americas	6	0	7	0	1	0	43.28468959	0	0	0	-94.34113157	38.25271289	FALSE
United States	Kentucky	Bath	US	KY	America	Americas	7	0	8	0	1	0	64	0	0	0	-83.74588932	38.14735938	FALSE
United States	Virginia	Bath	US	VA	America	Americas	0	0	0	0	0	0	0	0	0	0	-79.73912095	38.05852573	FALSE
United States	Arkansas	Baxter	US	AR	America	Americas	9	0	9	0	0	0	21.46332157	0	0	0	-92.33782872	36.28784385	FALSE
United States	Florida	Bay	US	FL	America	Americas	94	0	97	0	3	0	55.52216594	0	0	0	-85.62122584	30.26548745	FALSE
United States	Michigan	Bay	US	MI	America	Americas	274	0	296	0	22	0	287.0275197	0	0	0	-83.98731479	43.70639106	FALSE
United States	Wisconsin	Bayfield	US	WI	America	Americas	2	0	3	0	1	0	19.95211492	0	0	0	-91.19716729	46.52868768	FALSE
United States	South Dakota	Beadle	US	SD	America	Americas	188	0	190	0	2	0	1029.642876	0	0	0	-98.27858469	44.41464384	FALSE
United States	Utah	Bear River	US	UT	America	Americas	115	0	117	0	2	0	62.62779818	0	0	0	-113.0832816	41.52106798	FALSE
United States	North Carolina	Beaufort	US	NC	America	Americas	36	0	36	0	0	0	76.60552411	0	0	0	-76.84325809	35.48531943	FALSE
United States	South Carolina	Beaufort	US	SC	America	Americas	337	0	351	0	14	0	182.6964117	0	0	0	-80.72619758	32.39226291	FALSE
United States	Louisiana	Beauregard	US	LA	America	Americas	57	0	61	0	4	0	162.679681	0	0	0	-93.34173616	30.64836518	FALSE
United States	Oklahoma	Beaver	US	OK	America	Americas	24	0	24	0	0	0	451.892299	0	0	0	-100.4758872	36.7496847	FALSE
United States	Pennsylvania	Beaver	US	PA	America	Americas	509	0	582	0	73	0	355.0317516	0	0	0	-80.34921611	40.6825484	FALSE
United States	Montana	Beaverhead	US	MT	America	Americas	1	0	1	0	0	0	10.57865228	0	0	0	-112.8984694	45.13434354	FALSE
United States	Minnesota	Becker	US	MN	America	Americas	36	0	36	0	0	0	104.5812393	0	0	0	-95.67158144	46.93479392	FALSE
United States	Oklahoma	Beckham	US	OK	America	Americas	6	0	6	0	0	0	27.44864815	0	0	0	-99.68128023	35.26862449	FALSE
United States	Pennsylvania	Bedford	US	PA	America	Americas	37	0	39	0	2	0	81.44002673	0	0	0	-78.48998442	40.00522157	FALSE
United States	Tennessee	Bedford	US	TN	America	Americas	270	0	274	0	4	0	551.1636795	0	0	0	-86.45549096	35.51123746	FALSE
United States	Virginia	Bedford	US	VA	America	Americas	45	0	47	0	2	0	59.49593023	0	0	0	-79.5281964	37.3080028	FALSE
United States	Texas	Bee	US	TX	America	Americas	9	0	9	0	0	0	27.63703363	0	0	0	-97.74215593	28.41761668	FALSE
United States	New Hampshire	Belknap	US	NH	America	Americas	57	0	57	0	0	0	92.98076766	0	0	0	-71.41684235	43.51637314	FALSE
